,,,Scor,Scor,Scor,Scor,,,Spec,Spec,,Shot,Shot,-additional
Rk,Player,Tm,G,A,PTS,+/-,PS,EV,PP,SH,GW,S,S%,-9999
606,Jayson Megna,TOT,2,6,8,-21,-0.7,2,0,0,0,36,5.6,megnaja01
606,Jayson Megna,ANA,2,6,8,-19,-0.5,2,0,0,0,32,6.3,megnaja01
606,Jayson Megna,COL,0,0,0,-2,-0.2,0,0,0,0,4,0.0,megnaja01
607,Timo Meier,TOT,40,26,66,-19,7.1,23,17,0,5,327,12.2,meierti01
607,Timo Meier,SJS,31,21,52,-19,5.5,18,13,0,4,255,12.2,meierti01
607,Timo Meier,NJD,9,5,14,0,1.6,5,4,0,1,72,12.5,meierti01
608,Dawson Mercer,NJD,27,29,56,22,6.4,24,2,1,6,161,16.8,merceda01
609,Dakota Mermis,MIN,0,0,0,-1,0.0,0,0,0,0,1,0.0,mermida01
610,Jonathon Merrill,MIN,2,10,12,-2,2.6,2,0,0,0,43,4.7,merrijo01
611,Victor Mete,TOR,0,2,2,3,0.5,0,0,0,0,7,0.0,metevi01
612,Carson Meyer,CBJ,0,1,1,-2,-0.2,0,0,0,0,17,0.0,meyerca01
613,Ben Meyers,COL,4,0,4,-6,-0.1,4,0,0,0,33,12.1,meyerbe01
614,Jacob Middleton,MIN,3,12,15,15,4.8,3,0,0,0,79,3.8,middlja01
615,Ilya Mikheyev,VAN,13,15,28,3,2.6,12,1,0,2,91,14.3,mikheil01
616,Niko Mikkola,TOT,1,5,6,6,2.1,1,0,0,0,62,1.6,mikkoni01
616,Niko Mikkola,STL,0,3,3,2,0.9,0,0,0,0,31,0.0,mikkoni01
616,Niko Mikkola,NYR,1,2,3,4,1.2,1,0,0,0,31,3.2,mikkoni01
617,Sonny Milano,WSH,11,22,33,-5,2.8,10,1,0,3,80,13.8,milanso01
618,Colin Miller,DAL,6,15,21,23,5.6,5,1,0,3,106,5.7,milleco02
619,J.T. Miller,VAN,32,50,82,-7,7.5,16,11,5,3,223,14.3,millejt01
620,K'Andre Miller,NYR,9,34,43,12,7.5,9,0,0,2,113,8.0,milleka01
621,Daniil Miromanov,VEG,2,4,6,-6,0.5,1,1,0,0,22,9.1,miromda01
622,Ian Mitchell,CHI,1,7,8,-8,1.1,1,0,0,0,25,4.0,mitchia01
623,Casey Mittelstadt,BUF,15,44,59,-8,4.4,10,4,1,2,135,11.1,mitteca01
624,Sean Monahan,MTL,6,11,17,-5,1.3,5,1,0,0,55,10.9,monahse01
625,Brandon Montour,FLA,16,57,73,9,9.9,13,3,0,5,242,6.6,montobr01
626,Trevor Moore,LAK,10,19,29,-2,1.9,7,2,1,1,163,6.1,mooretr01
627,Josh Morrissey,WPG,16,60,76,2,11.3,14,2,0,6,172,9.3,morrijo04
628,J.J. Moser,ARI,7,24,31,-12,4.1,4,3,0,1,93,7.5,moserja01
629,Tyler Motte,TOT,8,11,19,3,1.5,7,0,1,1,109,7.3,mottety01
629,Tyler Motte,OTT,3,6,9,1,0.4,2,0,1,0,65,4.6,mottety01
629,Tyler Motte,NYR,5,5,10,2,1.1,5,0,0,1,44,11.4,mottety01
630,Jacob Moverare,LAK,0,0,0,-1,0.0,0,0,0,0,6,0.0,moverja01
631,Connor Murphy,CHI,7,6,13,-10,3.3,5,0,2,0,85,8.2,murphco02
632,Ryan Murray,EDM,0,3,3,-4,0.0,0,0,0,0,8,0.0,murrary01
633,Jake Muzzin,TOR,0,1,1,0,0.2,0,0,0,0,8,0.0,muzzija01
634,Philippe Myers,TBL,1,2,3,0,0.5,1,0,0,0,21,4.8,myersph01
635,Tyler Myers,VAN,1,16,17,-16,1.6,1,0,0,0,100,1.0,myersty01
636,Vladislav Namestnikov,TOT,8,17,25,5,1.7,7,1,0,0,108,7.4,namesvl01
636,Vladislav Namestnikov,TBL,6,9,15,-2,0.8,6,0,0,0,72,8.3,namesvl01
636,Vladislav Namestnikov,WPG,2,8,10,7,0.9,1,1,0,0,36,5.6,namesvl01
637,Martin Nečas,CAR,28,43,71,5,7.6,19,9,0,5,240,11.7,necasma01
638,Jake Neighbours,STL,6,4,10,-19,-0.1,5,1,0,1,53,11.3,neighja01
639,Brock Nelson,NYI,36,39,75,13,9.1,30,6,0,8,222,16.2,nelsobr01
640,Patrik Nemeth,ARI,0,5,5,-7,1.0,0,0,0,0,62,0.0,nemetpa01
641,Nikita Nesterenko,ANA,1,0,1,-3,-0.1,1,0,0,0,23,4.3,nesteni02
642,Alex Newhook,COL,14,16,30,0,2.3,13,1,0,3,116,12.1,newhoal01
643,Valeri Nichushkin,COL,17,30,47,15,4.9,6,10,1,2,158,10.8,nichuva01
644,Nino Niederreiter,TOT,24,17,41,-13,3.9,20,4,0,2,181,13.3,niedeni01
644,Nino Niederreiter,NSH,18,10,28,-9,2.8,15,3,0,1,130,13.8,niedeni01
644,Nino Niederreiter,WPG,6,7,13,-4,1.1,5,1,0,1,51,11.8,niedeni01
645,Markus Niemeläinen,EDM,0,0,0,3,0.3,0,0,0,0,16,0.0,niemema01
646,Matthew Nieto,TOT,12,12,24,-15,1.2,12,0,0,2,115,10.4,nietoma01
646,Matthew Nieto,SJS,8,7,15,-22,0.3,8,0,0,2,70,11.4,nietoma01
646,Matthew Nieto,COL,4,5,9,7,0.8,4,0,0,0,45,8.9,nietoma01
647,Stefan Noesen,CAR,13,23,36,11,3.8,6,7,0,4,134,9.7,noesest01
648,Joshua Norris,OTT,2,1,3,-1,0.2,2,0,0,0,15,13.3,norrijo01
649,Tomáš Nosek,BOS,7,11,18,9,1.3,5,0,2,1,69,10.1,nosekto01
650,Thomas Novak,NSH,17,26,43,5,4.8,12,5,0,3,93,18.3,novakth01
651,Ryan Nugent-Hopkins,EDM,37,67,104,12,10.9,21,15,1,3,201,18.4,nugenry01
652,Darnell Nurse,EDM,12,31,43,26,7.6,10,0,2,4,203,5.9,nurseda01
653,Alexander Nylander,PIT,1,1,2,1,0.1,1,0,0,0,11,9.1,nylanal01
654,William Nylander,TOR,40,47,87,10,10.0,31,9,0,5,293,13.7,nylanwi01
655,Gustav Nyquist,TOT,11,16,27,-9,2.0,9,0,2,2,102,10.8,nyquigu01
655,Gustav Nyquist,CBJ,10,12,22,-11,1.4,8,0,2,2,97,10.3,nyquigu01
655,Gustav Nyquist,MIN,1,4,5,2,0.6,1,0,0,0,5,20.0,nyquigu01
656,Liam O'Brien,ARI,3,8,11,-5,0.0,3,0,0,0,39,7.7,obrieli01
657,Drew O'Connor,PIT,5,6,11,-3,0.7,5,0,0,0,62,8.1,oconndr01
658,Logan O'Connor,COL,9,17,26,11,1.8,7,0,2,0,104,8.7,oconnlo01
659,Ryan O'Reilly,TOT,16,14,30,-21,2.0,14,1,1,4,102,15.7,oreilry01
659,Ryan O'Reilly,STL,12,7,19,-24,0.8,10,1,1,3,80,15.0,oreilry01
659,Ryan O'Reilly,TOR,4,7,11,3,1.2,4,0,0,1,22,18.2,oreilry01
660,Jordan Oesterle,DET,2,9,11,-9,1.6,2,0,0,0,54,3.7,oestejo01
661,Nikita Okhotyuk,NJD,1,0,1,1,0.3,1,0,0,1,6,16.7,okhotni01
662,Kyle Okposo,BUF,11,17,28,-7,1.5,9,1,1,3,150,7.3,okposky01
663,Oskar Olausson,COL,0,0,0,0,0.0,0,0,0,0,0,,olausos01
664,Jamie Oleksiak,SEA,9,16,25,13,4.8,9,0,0,2,76,11.8,oleksja01
665,Mathieu Olivier,CBJ,5,10,15,-20,0.1,5,0,0,1,75,6.7,olivima01
666,Fredrik Olofsson,DAL,1,3,4,0,0.0,1,0,0,1,34,2.9,olofsfr01
667,Gustav Olofsson,SEA,0,0,0,1,0.1,0,0,0,0,6,0.0,olofsgu01
668,Victor Olofsson,BUF,28,12,40,-23,3.7,21,7,0,5,161,17.4,olofsvi01
669,Dmitry Orlov,TOT,7,29,36,12,6.4,6,1,0,2,124,5.6,orlovdm01
669,Dmitry Orlov,WSH,3,16,19,2,3.3,3,0,0,2,77,3.9,orlovdm01
669,Dmitry Orlov,BOS,4,13,17,10,3.1,3,1,0,0,47,8.5,orlovdm01
670,T.J. Oshie,WSH,19,16,35,-18,3.1,10,9,0,2,126,15.1,oshietj01
671,Alex Ovechkin,WSH,42,33,75,-16,8.5,28,14,0,3,294,14.3,ovechal01
672,Brayden Pachal,VEG,0,2,2,2,0.5,0,0,0,0,18,0.0,pachabr01
673,Max Pacioretty,CAR,3,0,3,0,0.5,2,1,0,0,16,18.8,pacioma01
674,Jean-Gabriel Pageau,NYI,13,27,40,-2,3.2,5,5,3,2,123,10.6,pageaje01
675,Ondřej Palát,NJD,8,15,23,5,1.8,7,1,0,1,79,10.1,palaton01
676,Kyle Palmieri,NYI,16,17,33,13,3.8,13,3,0,3,122,13.1,palmiky01
677,Artemi Panarin,NYR,29,63,92,4,9.1,20,9,0,4,204,14.2,panarar01
678,Colton Parayko,STL,4,23,27,-19,2.5,4,0,0,1,133,3.0,parayco01
679,Zach Parise,NYI,21,13,34,7,3.6,16,3,2,2,182,11.5,parisza01
680,Juuso Pärssinen,NSH,6,19,25,-1,2.0,5,1,0,3,49,12.2,parssju01
681,David Pastrňák,BOS,61,52,113,34,15.1,43,18,0,13,407,15.0,pastrda01
682,Nick Paul,TBL,17,15,32,11,2.9,12,4,1,4,120,14.2,paulni01
683,Joe Pavelski,DAL,28,49,77,42,9.3,15,13,0,2,184,15.2,paveljo01
684,Tanner Pearson,VAN,1,4,5,-9,-0.1,1,0,0,0,17,5.9,pearsta01
685,Lane Pederson,TOT,3,3,6,-1,0.3,3,0,0,0,27,11.1,pederla01
685,Lane Pederson,CBJ,2,1,3,-4,0.1,2,0,0,0,12,16.7,pederla01
685,Lane Pederson,VAN,1,2,3,3,0.2,1,0,0,0,15,6.7,pederla01
686,Andrew Peeke,CBJ,6,7,13,-41,1.0,6,0,0,1,90,6.7,peekean01
687,Adam Pelech,NYI,6,15,21,15,5.1,6,0,0,0,97,6.2,pelecad01
688,Jakob Pelletier,CGY,3,4,7,-5,0.2,1,2,0,1,48,6.3,pelleja01
689,Nicklaus Perbix,TBL,5,15,20,11,4.0,5,0,0,2,111,4.5,perbini01
690,Cole Perfetti,WPG,8,22,30,10,2.8,7,1,0,0,90,8.9,perfeco01
691,David Perron,DET,24,32,56,-7,5.3,18,6,0,3,195,12.3,perroda01
692,Corey Perry,TBL,12,13,25,-28,0.9,6,6,0,3,116,10.3,perryco01
693,Brett Pesce,CAR,5,25,30,11,6.4,4,1,0,2,144,3.5,pescebr01
694,Nic Petan,MIN,1,2,3,0,0.2,1,0,0,0,10,10.0,petanni01
695,John-Jason Peterka,BUF,12,20,32,-15,1.7,10,2,0,1,125,9.6,peterjo01
696,Jacob Peterson,TOT,2,6,8,-12,0.2,0,2,0,0,21,9.5,peterja01
696,Jacob Peterson,SJS,2,6,8,-10,0.3,0,2,0,0,20,10.0,peterja01
696,Jacob Peterson,DAL,0,0,0,-2,-0.1,0,0,0,0,1,0.0,peterja01
697,Jeff Petry,PIT,5,26,31,2,4.8,3,2,0,0,113,4.4,petryje01
698,Elias Pettersson,VAN,39,63,102,16,10.9,28,6,5,6,257,15.2,petteel01
699,Marcus Pettersson,PIT,1,23,24,4,3.9,1,0,0,0,96,1.0,pettema01
700,Michael Pezzetta,MTL,7,8,15,-4,1.0,7,0,0,0,70,10.0,pezzemi01
701,Isaak Phillips,CHI,1,4,5,-10,0.2,1,0,0,0,16,6.3,phillis01
702,Matthew Phillips,CGY,0,0,0,0,0.0,0,0,0,0,1,0.0,phillma01
703,Luke Philp,CHI,0,1,1,0,0.0,0,0,0,0,0,,philplu01
704,Alex Pietrangelo,VEG,11,43,54,13,8.6,10,1,0,3,170,6.5,pietral01
705,Lawrence Pilut,BUF,1,2,3,-4,0.2,1,0,0,1,14,7.1,pilutla01
706,Shane Pinto,OTT,20,15,35,-21,2.6,15,5,0,2,158,12.7,pintosh01
707,Neal Pionk,WPG,10,23,33,-12,5.6,9,1,0,2,142,7.0,pionkne01
708,Rem Pitlick,MTL,6,9,15,-15,0.5,5,1,0,1,30,20.0,pitlire01
709,Tyler Pitlick,STL,7,9,16,-1,1.1,7,0,0,0,54,13.0,pitlity01
710,Vasily Podkolzin,VAN,4,3,7,-5,0.0,4,0,0,0,41,9.8,podkova01
711,Ryan Poehling,PIT,7,7,14,-2,0.9,5,0,2,0,64,10.9,poehlry01
712,Brayden Point,TBL,51,44,95,2,11.2,31,20,0,9,235,21.7,pointbr01
713,Tucker Poolman,VAN,0,1,1,1,0.2,0,0,0,0,3,0.0,poolmtu01
714,Samuel Poulin,PIT,0,1,1,-3,-0.1,0,0,0,0,2,0.0,poulisa01
715,Derrick Pouliot,SJS,0,2,2,-1,0.3,0,0,0,0,4,0.0,poulide01
716,Owen Power,BUF,4,31,35,10,5.3,4,0,0,1,130,3.1,powerow01
717,Aliaksei Protas,WSH,4,11,15,-8,0.5,4,0,0,0,83,4.8,protaal01
718,Ivan Provorov,PHI,6,21,27,-17,4.1,6,0,0,1,115,5.2,provoiv01
719,Jesse Puljujärvi,TOT,5,11,16,-13,-0.1,5,0,0,1,125,4.0,puljuje01
719,Jesse Puljujärvi,EDM,5,9,14,-11,0.1,5,0,0,1,88,5.7,puljuje01
719,Jesse Puljujärvi,CAR,0,2,2,-2,-0.2,0,0,0,0,37,0.0,puljuje01
720,Ryan Pulock,NYI,5,21,26,10,5.5,4,1,0,1,126,4.0,pulocry01
721,Mikael Pyyhtia,CBJ,0,1,1,-2,0.0,0,0,0,0,2,0.0,pyyhtmi01
722,Jack Quinn,BUF,14,23,37,-7,2.7,13,1,0,2,126,11.1,quinnja01
723,Darren Raddysh,TBL,1,2,3,-4,0.3,1,0,0,0,25,4.0,raddyda01
724,Taylor Raddysh,CHI,20,17,37,-28,2.8,13,7,0,1,129,15.5,raddyta01
725,Rickard Rakell,PIT,28,32,60,-5,5.7,17,11,0,2,243,11.5,rakelri01
726,Sampo Ranta,COL,0,0,0,0,-0.1,0,0,0,0,5,0.0,rantasa01
727,Mikko Rantanen,COL,55,50,105,15,12.8,42,13,0,9,306,18.0,rantami01
728,Adam Raška,SJS,0,0,0,0,-0.1,0,0,0,0,1,0.0,raskaad01
729,Michael Rasmussen,DET,10,19,29,2,2.5,10,0,0,0,88,11.4,rasmumi01
730,Jack Rathbone,VAN,1,1,2,-1,0.3,1,0,0,0,12,8.3,rathbja01
731,Aatu Räty,TOT,2,1,3,0,0.3,2,0,0,0,16,12.5,ratyaa01
731,Aatu Räty,NYI,2,0,2,1,0.3,2,0,0,0,16,12.5,ratyaa01
731,Aatu Räty,VAN,0,1,1,-1,0.0,0,0,0,0,0,,ratyaa01
732,Lucas Raymond,DET,17,28,45,-17,3.4,12,5,0,4,134,12.7,raymolu01
733,Ryan Reaves,TOT,5,10,15,-6,0.7,5,0,0,0,48,10.4,reavery01
733,Ryan Reaves,MIN,5,10,15,-1,1.0,5,0,0,0,45,11.1,reavery01
733,Ryan Reaves,NYR,0,0,0,-5,-0.3,0,0,0,0,3,0.0,reavery01
734,Pavol Regenda,ANA,1,2,3,-3,0.0,1,0,0,0,17,5.9,regenpa01
735,Alec Regula,CHI,0,0,0,-3,-0.1,0,0,0,0,2,0.0,regulal01
736,Kristian Reichel,WPG,0,1,1,0,0.1,0,0,0,0,1,0.0,reichkr01
737,Lukas Reichel,CHI,7,8,15,-8,1.4,7,0,0,0,42,16.7,reichlu01
738,Mike Reilly,BOS,0,1,1,0,0.2,0,0,0,0,12,0.0,reillmi01
739,Sam Reinhart,FLA,31,36,67,-12,5.9,15,16,0,5,227,13.7,reinhsa01
740,Sheldon Rempal,VEG,0,0,0,-2,-0.1,0,0,0,0,0,,rempash01
741,Dan Renouf,BOS,0,0,0,-3,-0.2,0,0,0,0,5,0.0,renouda01
742,Anthony Richard,MTL,3,2,5,2,0.6,3,0,0,1,13,23.1,richaan01
743,Justin Richards,CBJ,0,1,1,-1,0.0,0,0,0,0,0,,richaju01
744,Morgan Rielly,TOR,4,37,41,-9,4.9,3,1,0,1,126,3.2,riellmo01
745,Rasmus Ristolainen,PHI,3,17,20,-4,3.5,1,1,1,0,86,3.5,ristora01
746,Brett Ritchie,TOT,8,5,13,0,1.2,8,0,0,0,68,11.8,ritchbr01
746,Brett Ritchie,CGY,6,2,8,2,0.9,6,0,0,0,46,13.0,ritchbr01
746,Brett Ritchie,ARI,2,3,5,-2,0.3,2,0,0,0,22,9.1,ritchbr01
747,Nick Ritchie,TOT,13,13,26,-21,1.2,9,4,0,2,120,10.8,ritchni01
747,Nick Ritchie,ARI,9,12,21,-15,0.9,5,4,0,2,87,10.3,ritchni01
747,Nick Ritchie,CGY,4,1,5,-6,0.3,4,0,0,0,33,12.1,ritchni01
748,Jason Robertson,DAL,46,63,109,37,13.9,33,13,0,7,313,14.7,roberja01
749,Nicholas Robertson,TOR,2,3,5,2,0.5,2,0,0,1,27,7.4,roberni01
750,Tristen Robins,SJS,0,0,0,-1,-0.1,0,0,0,0,2,0.0,robintr01
751,Buddy Robinson,CHI,1,2,3,1,0.3,1,0,0,0,13,7.7,robinbu01
752,Eric Robinson,CBJ,12,12,24,-21,1.3,12,0,0,1,98,12.2,robiner01
753,Evan Rodrigues,COL,16,23,39,7,3.5,10,6,0,2,184,8.7,rodriev01
754,Alexander Romanov,NYI,2,20,22,13,4.8,2,0,0,0,100,2.0,romanal01
755,Kevin Rooney,CGY,0,1,1,-2,-0.2,0,0,0,0,14,0.0,rooneke01
756,Filip Roos,CHI,1,2,3,-5,0.4,1,0,0,0,19,5.3,roosfi01
757,Calle Rosén,STL,8,10,18,19,4.3,8,0,0,2,62,12.9,rosenca01
758,Jack Roslovic,CBJ,11,33,44,-14,3.0,7,2,2,2,123,8.9,rosloja01
759,Marco Rossi,MIN,0,1,1,-7,-0.5,0,0,0,0,13,0.0,rossima01
760,Lukáš Rousek,BUF,1,1,2,2,0.3,1,0,0,0,3,33.3,rouselu01
761,Matt Roy,LAK,9,17,26,8,5.2,8,0,1,2,135,6.7,royma04
762,Nicolas Roy,VEG,14,16,30,10,2.8,11,3,0,5,101,13.9,royni01
763,Chad Ruhwedel,PIT,1,4,5,-4,0.9,1,0,0,0,36,2.8,ruhwech01
764,Bryan Rust,PIT,20,26,46,-4,3.8,18,2,0,2,211,9.5,rustbr01
765,Jan Rutta,PIT,3,6,9,3,2.2,3,0,0,0,64,4.7,ruttaja02
766,Adam Ružička,CGY,6,14,20,-1,1.6,4,2,0,2,64,9.4,ruzicad01
767,Derek Ryan,EDM,13,7,20,11,1.8,11,0,2,0,92,14.1,ryande01
768,Jonas Røndbjerg,VEG,0,1,1,-5,-0.3,0,0,0,0,15,0.0,rondbjo01
769,Brandon Saad,STL,19,18,37,-8,3.1,15,2,2,1,127,15.0,saadbr01
770,Robin Salo,NYI,2,2,4,1,0.8,2,0,0,0,9,22.2,saloro01
771,Dylan Samberg,WPG,2,6,8,10,2.9,2,0,0,0,49,4.1,sambedy01
772,Dmitri Samorukov,STL,0,0,0,-1,-0.1,0,0,0,0,1,0.0,samordm01
773,Mattias Samuelsson,BUF,2,8,10,14,2.7,2,0,0,0,76,2.6,samuema02
774,Jake Sanderson,OTT,4,28,32,-6,4.9,2,2,0,0,132,3.0,sandeja01
775,Rasmus Sandin,TOT,7,28,35,3,5.5,7,0,0,0,81,8.6,sandira01
775,Rasmus Sandin,TOR,4,16,20,10,3.8,4,0,0,0,58,6.9,sandira01
775,Rasmus Sandin,WSH,3,12,15,-7,1.7,3,0,0,0,23,13.0,sandira01
776,Zach Sanford,NSH,2,1,3,-3,0.1,2,0,0,1,20,10.0,sanfoza01
777,Travis Sanheim,PHI,7,16,23,-5,4.4,6,0,1,1,111,6.3,sanhetr01
778,Steven Santini,STL,0,1,1,0,0.1,0,0,0,0,5,0.0,santist01
779,David Savard,MTL,3,17,20,-14,2.3,3,0,0,1,63,4.8,savarda01
780,Marco Scandella,STL,1,1,2,2,0.6,1,0,0,0,17,5.9,scandma01
781,Mark Scheifele,WPG,42,26,68,-16,7.3,30,12,0,10,206,20.4,scheima01
782,Brayden Schenn,STL,21,44,65,-27,4.7,15,6,0,3,144,14.6,schenbr01
783,Luke Schenn,TOT,4,18,22,8,3.8,4,0,0,0,81,4.9,schenlu01
783,Luke Schenn,VAN,3,18,21,9,3.5,3,0,0,0,68,4.4,schenlu01
783,Luke Schenn,TOR,1,0,1,-1,0.3,1,0,0,0,13,7.7,schenlu01
784,Nick Schmaltz,ARI,22,36,58,4,5.6,16,6,0,2,132,16.7,schmani01
785,Nate Schmidt,WPG,7,12,19,15,5.3,4,3,0,0,101,6.9,schmina01
786,Braden Schneider,NYR,5,13,18,9,4.1,5,0,0,1,79,6.3,schnebr01
787,Corey Schueneman,MTL,0,1,1,1,0.2,0,0,0,0,8,0.0,schueco01
788,Justin Schultz,SEA,7,27,34,4,4.8,6,1,0,4,98,7.1,schulju01
789,Jaden Schwartz,SEA,21,19,40,-17,3.0,15,6,0,2,167,12.6,schwaja01
790,Lukáš Sedlák,TOT,3,5,8,4,0.6,3,0,0,0,44,6.8,sedlalu01
790,Lukáš Sedlák,PHI,3,5,8,3,0.6,3,0,0,0,43,7.0,sedlalu01
790,Lukáš Sedlák,COL,0,0,0,1,0.0,0,0,0,0,1,0.0,sedlalu01
791,Nick Seeler,PHI,4,10,14,1,3.1,4,0,0,0,84,4.8,seeleni01
792,Tyler Seguin,DAL,21,29,50,3,4.9,13,7,1,3,189,11.1,seguity01
793,Moritz Seider,DET,5,37,42,-11,6.1,3,1,1,1,140,3.6,seidemo01
794,Brett Seney,CHI,1,0,1,-2,0.0,1,0,0,0,9,11.1,seneybr01
795,Mikhail Sergachev,TBL,10,54,64,13,9.3,7,3,0,2,156,6.4,sergami01
796,Damon Severson,NJD,7,26,33,9,5.6,5,1,1,2,102,6.9,severda01
797,Yegor Sharangovich,NJD,13,17,30,-3,2.1,11,0,2,2,131,9.9,sharaye01
798,Kevin Shattenkirk,ANA,4,23,27,-20,3.0,3,1,0,0,145,2.8,shattke01
799,Mason Shaw,MIN,7,10,17,-1,1.3,7,0,0,0,92,7.6,shawma01
800,Riley Sheahan,BUF,0,0,0,-2,-0.1,0,0,0,0,0,,sheahri01
801,Conor Sheary,WSH,15,22,37,9,3.4,11,2,2,1,154,9.7,shearco01
802,Kiefer Sherwood,NSH,7,6,13,4,1.4,6,1,0,0,57,12.3,sherwki01
803,Devin Shore,EDM,1,8,9,6,0.4,1,0,0,0,33,3.0,shorede01
804,Jonas Siegenthaler,NJD,4,17,21,27,5.4,3,1,0,1,84,4.8,siegejo01
805,Jakob Silfverberg,ANA,10,16,26,-20,0.7,6,4,0,2,141,7.1,silfvja01
806,Cole Sillinger,CBJ,3,8,11,-23,-0.7,1,2,0,0,93,3.2,sillico01
807,Radim Šimek,SJS,1,2,3,-13,0.1,1,0,0,0,39,2.6,simekra01
808,Wayne Simmonds,TOR,0,2,2,1,0.0,0,0,0,0,9,0.0,simmowa01
809,Colton Sissons,NSH,12,18,30,-4,2.0,11,0,1,1,87,13.8,sissoco01
810,Jeff Skinner,BUF,35,47,82,15,9.3,27,8,0,3,242,14.5,skinnje01
811,Brady Skjei,CAR,18,20,38,7,8.2,13,4,1,3,188,9.6,skjeibr01
812,Juraj Slafkovsky,MTL,4,6,10,-13,0.1,3,1,0,0,42,9.5,slafkju01
813,Jaccob Slavin,CAR,7,20,27,18,6.7,7,0,0,1,131,5.3,slavija01
814,Brendan Smith,NJD,0,5,5,3,1.3,0,0,0,0,58,0.0,smithbr05
815,Cole Smith,NSH,4,13,17,-3,0.6,4,0,0,1,64,6.3,smithco02
816,Craig Smith,TOT,9,7,16,5,1.4,9,0,0,2,104,8.7,smithcr01
816,Craig Smith,BOS,4,6,10,4,0.7,4,0,0,0,51,7.8,smithcr01
816,Craig Smith,WSH,5,1,6,1,0.7,5,0,0,2,53,9.4,smithcr01
817,Givani Smith,TOT,1,3,4,-2,-0.1,1,0,0,0,30,3.3,smithgi01
817,Givani Smith,FLA,1,3,4,1,0.1,1,0,0,0,27,3.7,smithgi01
817,Givani Smith,DET,0,0,0,-3,-0.1,0,0,0,0,3,0.0,smithgi01
818,Nathan Smith,ARI,0,0,0,-1,-0.1,0,0,0,0,2,0.0,smithna03
819,Reilly Smith,VEG,26,30,56,11,6.1,16,6,4,4,180,14.4,smithre01
820,Ty Smith,PIT,1,3,4,3,0.9,1,0,0,0,27,3.7,smithty01
821,Joe Snively,WSH,2,2,4,3,0.5,2,0,0,0,16,12.5,snivejo01
822,Elmer Söderblom,DET,5,3,8,0,0.9,5,0,0,2,30,16.7,soderel01
823,Victor Söderström,ARI,0,9,9,-3,1.0,0,0,0,0,31,0.0,sodervi01
824,Egor Sokolov,OTT,1,1,2,2,0.3,1,0,0,1,5,20.0,sokoleg01
825,Nikita Soshnikov,NYI,0,0,0,-2,-0.1,0,0,0,0,4,0.0,soshnni01
826,Carson Soucy,SEA,3,13,16,18,3.7,3,0,0,0,87,3.4,soucyca01
827,Jordan Spence,LAK,0,1,1,1,0.2,0,0,0,0,6,0.0,spencjo01
828,Daniel Sprong,SEA,21,25,46,13,5.5,15,6,0,3,147,14.3,spronda01
829,Jared Spurgeon,MIN,11,23,34,32,8.9,10,1,0,3,149,7.4,spurgja01
830,Eric Staal,FLA,14,15,29,-5,2.0,12,0,2,1,106,13.2,staaler01
831,Jordan Staal,CAR,17,17,34,7,3.3,16,0,1,3,124,13.7,staaljo01
832,Marc Staal,FLA,3,12,15,10,3.0,3,0,0,0,55,5.5,staalma01
833,Steven Stamkos,TBL,34,50,84,-5,8.4,20,14,0,6,240,14.2,stamkst01
834,Logan Stanley,WPG,1,2,3,-1,0.7,1,0,0,0,11,9.1,stanllo01
835,Spencer Stastney,NSH,0,2,2,5,0.7,0,0,0,0,9,0.0,stastsp01
836,Paul Stastny,CAR,9,13,22,4,1.9,7,2,0,3,80,11.3,stastpa01
837,Troy Stecher,TOT,3,11,14,-6,2.3,3,0,0,1,88,3.4,stechtr01
837,Troy Stecher,ARI,0,7,7,-3,1.2,0,0,0,0,62,0.0,stechtr01
837,Troy Stecher,CGY,3,4,7,-3,1.0,3,0,0,1,26,11.5,stechtr01
838,Sam Steel,MIN,10,18,28,11,2.6,9,0,1,2,85,11.8,steelsa01
839,Oskar Steen,BOS,1,0,1,0,0.1,1,0,0,0,5,20.0,steenos01
840,Alex Steeves,TOR,0,0,0,-2,-0.1,0,0,0,0,3,0.0,steeval02
841,Kevin Stenlund,WPG,6,3,9,3,0.6,4,0,2,0,63,9.5,stenlke01
842,Derek Stepan,CAR,5,6,11,8,0.9,5,0,0,0,98,5.1,stepade01
843,Chandler Stephenson,VEG,16,49,65,12,5.6,9,6,1,5,120,13.3,stephch02
844,Riley Stillman,TOT,1,7,8,-13,0.3,1,0,0,0,37,2.7,stillri01
844,Riley Stillman,VAN,0,5,5,-14,-0.2,0,0,0,0,29,0.0,stillri01
844,Riley Stillman,BUF,1,2,3,1,0.5,1,0,0,0,8,12.5,stillri01
845,Mark Stone,VEG,17,21,38,11,4.3,12,3,2,1,113,15.0,stonema01
846,Michael Stone,CGY,6,5,11,2,2.4,6,0,0,1,92,6.5,stonemi01
847,Anton Strålman,BOS,0,0,0,-3,-0.1,0,0,0,0,3,0.0,stralan01
848,Austin Strand,ANA,0,0,0,-2,-0.1,0,0,0,0,5,0.0,stranau01
849,Dylan Strome,WSH,23,42,65,-4,6.3,20,3,0,2,154,14.9,stromdy01
850,Ryan Strome,ANA,15,26,41,-30,1.9,14,1,0,2,130,11.5,stromry01
851,Marián Studenič,DAL,0,0,0,-1,-0.1,0,0,0,0,4,0.0,studema01
852,Jack Studnicka,TOT,4,4,8,-12,-0.2,4,0,0,1,65,6.2,studnja01
