,,,Scor,Scor,Scor,Scor,,,Spec,Spec,,Shot,Shot,-additional
Rk,Player,Tm,G,A,PTS,+/-,PS,EV,PP,SH,GW,S,S%,-9999
465,Matt Kiersted,FLA,1,3,4,4,0.8,1,0,0,0,14,7.1,kiersma01
466,Alex Killorn,TBL,27,37,64,18,6.9,23,3,1,5,143,18.9,killoal01
467,Justin Kirkland,ANA,0,0,0,-3,-0.2,0,0,0,0,5,0.0,kirklju01
468,Joel Kiviranta,DAL,8,1,9,-9,-0.1,7,0,1,0,85,9.4,kivirjo01
469,Tyler Kleven,OTT,0,2,2,-1,0.2,0,0,0,0,11,0.0,klevety01
470,John Klingberg,TOT,10,23,33,-25,3.8,8,2,0,3,112,8.9,klingjo01
470,John Klingberg,ANA,8,16,24,-28,2.1,7,1,0,3,78,10.3,klingjo01
470,John Klingberg,MIN,2,7,9,3,1.7,1,1,0,0,34,5.9,klingjo01
471,Samuel Kňažko,CBJ,0,0,0,0,0.0,0,0,0,0,0,,knazksa01
472,Matthew Knies,TOR,0,1,1,1,0.1,0,0,0,0,4,0.0,kniesma01
473,Nikolai Knyzhov,SJS,1,0,1,-13,-0.5,1,0,0,0,10,10.0,knyzhni01
474,Cole Koepke,TBL,1,0,1,-5,-0.2,1,0,0,0,12,8.3,koepkco01
475,Otto Koivula,NYI,0,2,2,1,0.1,0,0,0,0,5,0.0,koivuot01
476,Keegan Kolesar,VEG,8,10,18,6,1.3,8,0,0,0,63,12.7,koleske01
477,Vladislav Kolyachonok,ARI,0,0,0,0,0.0,0,0,0,0,2,0.0,kolyavl01
478,Travis Konecny,PHI,31,30,61,-12,6.6,23,5,3,5,191,16.2,konectr01
479,Anže Kopitar,LAK,28,46,74,20,7.6,21,7,0,4,169,16.6,kopitan01
480,Joona Koppanen,BOS,0,1,1,0,0.0,0,0,0,0,2,0.0,koppajo01
481,Kaedan Korczak,VEG,0,2,2,-3,0.1,0,0,0,0,16,0.0,korczka01
482,Klim Kostin,EDM,11,10,21,12,2.4,11,0,0,2,56,19.6,kostikl01
483,Jesperi Kotkaniemi,CAR,18,25,43,10,4.5,14,3,1,2,129,14.0,kotkaje01
484,Johnathan Kovacevic,MTL,3,12,15,3,3.0,3,0,0,0,92,3.3,kovacjo01
485,Filip Král,TOR,0,0,0,0,0.0,0,0,0,0,1,0.0,kralfi01
486,Vitali Kravtsov,TOT,4,4,8,3,0.4,3,1,0,0,43,9.3,kravtvi01
486,Vitali Kravtsov,NYR,3,3,6,6,0.6,3,0,0,0,26,11.5,kravtvi01
486,Vitali Kravtsov,VAN,1,1,2,-3,-0.1,0,1,0,0,17,5.9,kravtvi01
487,Peyton Krebs,BUF,9,17,26,-8,1.2,7,1,1,0,78,11.5,krebspe01
488,Chris Kreider,NYR,36,18,54,21,7.0,24,8,4,3,229,15.7,kreidch01
489,David Krejčí,BOS,16,40,56,23,5.6,12,4,0,2,112,14.3,krejcda01
