"","event_type","xg","secondary_type","event_goalie_id","goal"
"523","SHOT",0.416995763778687,"backhand",8475852,0
"524","SHOT",0.019210871309042,"tip-in",8475852,0
"526","SHOT",0.000723090954124928,"wrist",8477465,0
"532","SHOT",0.00157035631127656,"slap",8477465,0
"536","SHOT",0.00166390684898943,"wrist",8475852,0
"537","SHOT",0.00398856168612838,"wrist",8475852,0
"541","SHOT",0.00356963742524385,"wrist",8477465,0
"554","SHOT",0.140776008367538,"tip-in",8475852,0
"557","SHOT",0.000156306341523305,"wrist",8475852,0
"562","SHOT",0.00909243617206812,"wrist",8477465,0
"565","SHOT",0.0113010453060269,"wrist",8477465,0
"573","SHOT",0.0159380324184895,"wrist",8477465,0
"582","SHOT",0.0195097867399454,"backhand",8475852,0
"583","SHOT",0.000951936817727983,"wrist",8477465,0
"586","SHOT",0.00151040067430586,"snap",8475852,0
"587","SHOT",0.0022628961596638,"snap",8475852,0
"589","SHOT",0.00112606107722968,"wrist",8477465,0
"599","GOAL",0.00268368609249592,"wrist",8477465,1
"601","SHOT",0.0013349971268326,"wrist",8477465,0
"605","SHOT",0.00147293834015727,"snap",8475852,0
"611","SHOT",0.0444348528981209,"backhand",8475852,0
"612","SHOT",0.00111897313036025,"wrist",8475852,0
"617","GOAL",0.00333002815023065,"wrist",8477465,1
"626","SHOT",0.000780636037234217,"wrist",8475852,0
"632","SHOT",0.0024188095703721,"slap",8475852,0
"635","GOAL",0.900542676448822,"wrist",NA,1
"640","SHOT",0.00324287498369813,"snap",8475852,0
"643","SHOT",0.00277606956660748,"wrist",8475852,0
"665","SHOT",0.0104070222005248,"backhand",8478499,0
"666","SHOT",0.0198250692337751,"wrist",8478499,0
"667","SHOT",0.00985870510339737,"wrist",8478499,0
"668","SHOT",0.0113842850551009,"tip-in",8478499,0
"684","SHOT",0.00102003710344434,"slap",8478499,0
"685","GOAL",0.14876426756382,"tip-in",8475831,1
"692","SHOT",0.00121014111209661,"wrist",8475831,0
"693","SHOT",0.00919071026146412,"wrist",8475831,0
"701","SHOT",0.00713298609480262,"wrist",8478499,0
"704","SHOT",0.0063709132373333,"wrist",8478499,0
"706","SHOT",0.00279953167773783,"wrist",8478499,0
"710","SHOT",0.106953620910645,"backhand",8475831,0
"714","SHOT",0.00423444528132677,"wrist",8475831,0
"717","SHOT",0.000436350383097306,"slap",8478499,0
"719","SHOT",0.000389398192055523,"slap",8478499,0
